drug_name,drug_0,drug_1,drug_2,drug_3,drug_4,drug_5,drug_6,drug_7,drug_8
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,1,1,1,0,0,0,0,0,1
ABACAVIR SULFATE\LAMIVUDINE,0,1,1,0,0,1,1,1,0
ABILIFY MAINTENA,0,1,0,0,0,0,0,1,1
ABIRATERONE ACETATE,0,0,0,0,0,1,0,1,1
ABRILADA,1,0,0,1,0,0,1,1,0
ACCRUFER,0,0,1,1,1,1,1,0,1
ACETAMINOPHEN,0,0,0,0,1,0,1,1,0
ACOLTREMON,0,1,0,0,0,1,0,1,0
ACTEMRA,1,0,0,0,1,0,1,0,0
ADALIMUMAB,0,1,1,1,1,0,1,1,0
ADALIMUMAB-AATY,0,1,1,0,1,1,0,1,0
ADCETRIS,0,1,1,1,0,1,0,0,1
ADDERALL XR,1,1,0,0,0,1,0,1,0
ADRENALIN,1,1,0,0,0,0,1,1,0
ADVIL,0,1,0,1,1,0,0,1,0
AIMOVIG,1,0,0,1,0,0,0,0,1
ALBUTEROL SULFATE,0,0,1,0,0,0,1,0,1
ALCOHOL (ALCOHOL),1,1,0,0,0,0,1,0,1
ALDACTONE,1,0,1,1,1,1,0,0,1
ALENDRONIC ACID,0,1,1,0,1,1,1,0,1
ALPRAZOLAM,0,1,0,0,1,1,0,1,1
ALTUVIIIO,1,1,1,0,0,0,1,0,1
AMBRISENTAN,0,1,0,0,0,0,1,0,1
AMITRIPTYLINE,1,0,0,1,0,1,0,1,1
AMJEVITA,1,1,0,1,0,1,0,1,0
AMLODIPINE,0,0,1,0,1,0,1,0,0
AMLODIPINE BESYLATE,1,0,0,1,1,1,1,0,1
AMOXICILLIN,1,1,0,1,1,0,0,0,0
AMPICILLIN AND SULBACTAM,0,1,1,1,1,0,1,0,1
APIXABAN,1,0,0,0,1,1,1,1,1
APREMILAST,0,1,0,0,0,1,1,0,0
ARIPIPRAZOLE,0,1,0,0,1,0,0,1,0
ASCIMINIB,1,1,0,0,1,0,1,0,0
ASPIRIN,1,0,0,1,0,1,0,0,1
ATENOLOL,1,1,0,1,1,1,1,0,0
ATEZOLIZUMAB,0,1,1,0,0,0,1,0,1
ATORVASTATIN,0,0,1,1,1,0,0,1,0
ATORVASTATIN CALCIUM,0,0,1,1,0,0,0,1,1
AUSTEDO XR,1,1,0,1,0,1,0,0,0
AVMAPKI FAKZYNJA CO-PACK,1,0,0,1,0,0,0,1,1
AXICABTAGENE CILOLEUCEL,0,0,0,0,1,0,0,1,0
AYVAKIT,0,0,0,1,0,0,1,0,1
AZACITIDINE,1,0,1,1,1,1,1,1,0
AZATHIOPRINE,0,0,0,1,1,1,1,0,0
BACTRIM,1,1,0,1,1,1,0,0,1
BASAGLAR,1,0,0,1,0,0,0,1,0
BELBUCA,0,1,1,1,1,1,1,1,1
BELIMUMAB,0,1,0,0,1,1,1,1,0
BENLYSTA,0,0,1,0,0,0,1,0,0
BENRALIZUMAB,0,0,0,1,1,0,0,1,1
BESREMI,0,1,0,0,0,0,1,0,0
BEVACIZUMAB,0,0,0,0,0,1,0,0,1
BIMZELX,0,1,1,1,0,1,1,1,1
BINIMETINIB,1,1,0,1,0,1,1,1,0
BISOPROLOL,0,0,1,1,1,0,1,0,0
BISOPROLOL FUMARATE,1,0,1,0,1,0,1,0,0
BIVIGAM,0,0,1,0,1,0,0,1,0
BORTEZOMIB,0,0,1,1,1,0,0,0,1
BOSULIF,0,1,1,1,1,0,1,1,1
BRAFTOVI,1,1,0,0,1,1,1,1,1
BRENTUXIMAB VEDOTIN,1,0,0,0,1,1,0,0,0
BRINSUPRI,0,1,0,1,0,0,1,1,0
BUDESONIDE\FORMOTEROL,0,0,1,0,1,1,1,0,1
BUPRENORPHINE,0,0,0,1,0,1,1,0,1
BUPROPION HYDROCHLORIDE,1,0,0,0,0,1,0,1,0
CABENUVA,1,1,0,1,1,1,0,1,1
CABERGOLINE,1,0,0,1,1,1,0,0,0
CABOMETYX,0,1,0,1,0,0,1,1,1
CALQUENCE,1,0,0,0,1,1,1,0,1
CAPECITABINE,0,1,0,0,1,1,0,0,1
CARBIDOPA,1,0,1,1,0,1,0,1,0
CARBIDOPA\LEVODOPA,0,1,1,1,1,0,1,0,0
CARBOPLATIN,0,0,0,0,1,1,1,1,1
CARVYKTI,1,1,0,1,0,1,1,0,1
CEFADROXIL,0,1,1,0,0,0,0,1,1
CEFIDEROCOL,1,1,1,0,0,1,0,0,0
CELECOXIB,1,0,1,1,0,1,1,0,0
CEQUA,0,1,1,1,0,0,1,1,0
CERTOLIZUMAB PEGOL,0,1,1,1,1,0,0,0,0
CILTACABTAGENE AUTOLEUCEL,0,1,0,1,1,1,0,1,0
CIMZIA,0,1,0,1,1,0,1,0,1
CIPROFLOXACIN,0,1,1,1,1,1,0,1,0
CIPROFLOXACIN HYDROCHLORIDE,1,1,0,1,1,0,1,1,1
CISPLATIN,0,1,1,1,1,1,1,0,0
CITALOPRAM,0,0,0,1,1,0,1,0,0
CLARITIN,0,1,0,0,1,0,1,0,1
CLINDAMYCIN,1,0,0,1,1,0,0,1,0
CLINDAMYCIN PHOSPHATE,0,1,0,0,0,1,0,0,1
CLONAZEPAM,0,1,0,0,0,1,1,0,1
CLOZAPINE,0,0,1,1,0,1,1,0,0
CLOZARIL,0,1,1,0,0,0,1,1,1
COBENFY,1,1,0,1,0,1,1,1,1
COLUMVI,1,0,1,1,0,1,0,0,0
COMBIGAN,0,1,0,1,0,1,0,0,1
CONTRAVE,1,0,0,1,1,1,0,0,1
COPAXONE,1,0,1,0,1,1,1,0,0
CORTICOTROPIN,0,0,0,1,0,0,1,1,0
COSENTYX,0,1,0,1,1,1,0,0,0
CREON,0,0,0,1,0,0,0,0,0
CRESTOR,1,0,0,0,1,1,0,1,1
CREXONT,1,1,1,0,0,1,0,1,1
CRYSVITA,1,1,0,0,1,0,1,1,0
CUBICIN,0,0,1,1,0,0,0,0,1
